Date, Daily Cases, 3 Day Average, 5 Day Average, 7 Day Average
25/01/2020,0,Not Applicable,Not Applicable,Not Applicable
26/01/2020,0,Not Applicable,Not Applicable,Not Applicable
27/01/2020,0,0,Not Applicable,Not Applicable
28/01/2020,0,0,Not Applicable,Not Applicable
29/01/2020,0,0,0,Not Applicable
30/01/2020,0,0,0,Not Applicable
31/01/2020,0,0,0,0
1/02/2020,0,0,0,0
2/02/2020,0,0,0,0
3/02/2020,0,0,0,0
4/02/2020,0,0,0,0
5/02/2020,0,0,0,0
6/02/2020,0,0,0,0
7/02/2020,0,0,0,0
8/02/2020,0,0,0,0
9/02/2020,0,0,0,0
10/02/2020,0,0,0,0
11/02/2020,0,0,0,0
12/02/2020,0,0,0,0
13/02/2020,0,0,0,0
14/02/2020,0,0,0,0
15/02/2020,0,0,0,0
16/02/2020,0,0,0,0
17/02/2020,0,0,0,0
18/02/2020,0,0,0,0
19/02/2020,0,0,0,0
20/02/2020,0,0,0,0
21/02/2020,1,0,0,0
22/02/2020,0,0.5,0.25,0.166666667
23/02/2020,0,0.5,0.25,0.166666667
24/02/2020,0,0,0.25,0.166666667
25/02/2020,0,0,0.25,0.166666667
26/02/2020,0,0,0,0.166666667
27/02/2020,0,0,0,0.166666667
28/02/2020,1,0,0,0
29/02/2020,0,0.5,0.25,0.166666667
1/03/2020,0,0.5,0.25,0.166666667
2/03/2020,0,0,0.25,0.166666667
3/03/2020,0,0,0.25,0.166666667
4/03/2020,0,0,0,0.166666667
5/03/2020,1,0,0,0.166666667
6/03/2020,0,0.5,0.25,0.166666667
7/03/2020,0,0.5,0.25,0.166666667
8/03/2020,1,0,0.25,0.166666667
9/03/2020,2,0.5,0.5,0.333333333
10/03/2020,0,1.5,0.75,0.666666667
11/03/2020,3,1,0.75,0.666666667
12/03/2020,0,1.5,1.5,1
13/03/2020,5,1.5,1.25,1
14/03/2020,3,2.5,2,1.833333333
15/03/2020,1,4,2.75,2.166666667
16/03/2020,10,2,2.25,2
17/03/2020,3,5.5,4.75,3.666666667
18/03/2020,4,6.5,4.25,3.666666667
19/03/2020,17,3.5,4.5,4.333333333
20/03/2020,12,10.5,8.5,6.333333333
21/03/2020,26,14.5,9,7.833333333
22/03/2020,30,19,14.75,12
23/03/2020,20,28,21.25,15.33333333
24/03/2020,35,25,22,18.16666667
25/03/2020,30,27.5,27.75,23.33333333
26/03/2020,26,32.5,28.75,25.5
27/03/2020,24,28,27.75,27.83333333
28/03/2020,23,25,28.75,27.5
29/03/2020,33,23.5,25.75,26.33333333
30/03/2020,44,28,26.5,28.5
31/03/2020,9,38.5,31,30
1/04/2020,28,26.5,27.25,26.5
2/04/2020,8,18.5,28.5,26.83333333
3/04/2020,22,18,22.25,24.16666667
4/04/2020,14,15,16.75,24
5/04/2020,17,18,18,20.83333333
6/04/2020,7,15.5,15.25,16.33333333
7/04/2020,10,12,15,16
8/04/2020,11,8.5,12,13
9/04/2020,14,10.5,11.25,13.5
10/04/2020,11,12.5,10.5,12.16666667
11/04/2020,8,12.5,11.5,11.66666667
12/04/2020,3,9.5,11,10.16666667
13/04/2020,6,5.5,9,9.5
14/04/2020,4,4.5,7,8.833333333
15/04/2020,5,5,5.25,7.666666667
16/04/2020,3,4.5,4.5,6.166666667
17/04/2020,6,4,4.5,4.833333333
18/04/2020,3,4.5,4.5,4.5
19/04/2020,1,4.5,4.25,4.5
20/04/2020,0,2,3.25,3.666666667
21/04/2020,1,0.5,2.5,3
22/04/2020,0,0.5,1.25,2.333333333
23/04/2020,0,0.5,0.5,1.833333333
24/04/2020,2,0,0.25,0.833333333
25/04/2020,1,1,0.75,0.666666667
26/04/2020,0,1.5,0.75,0.666666667
27/04/2020,0,0.5,0.75,0.666666667
28/04/2020,1,0,0.75,0.5
29/04/2020,1,0.5,0.5,0.666666667
30/04/2020,0,1,0.5,0.833333333
1/05/2020,0,0.5,0.5,0.5
2/05/2020,0,0,0.5,0.333333333
3/05/2020,0,0,0.25,0.333333333
4/05/2020,0,0,0,0.333333333
5/05/2020,0,0,0,0.166666667
6/05/2020,0,0,0,0
7/05/2020,0,0,0,0
8/05/2020,1,0,0,0
9/05/2020,0,0.5,0.25,0.166666667
10/05/2020,0,0.5,0.25,0.166666667
11/05/2020,0,0,0.25,0.166666667
12/05/2020,1,0,0.25,0.166666667
13/05/2020,0,0.5,0.25,0.333333333
14/05/2020,1,0.5,0.25,0.333333333
15/05/2020,0,0.5,0.5,0.333333333
16/05/2020,1,0.5,0.5,0.333333333
17/05/2020,1,0.5,0.5,0.5
18/05/2020,1,1,0.75,0.666666667
19/05/2020,0,1,0.75,0.666666667
20/05/2020,0,0.5,0.75,0.666666667
21/05/2020,0,0,0.5,0.5
22/05/2020,0,0,0.25,0.5
23/05/2020,3,0,0,0.333333333
24/05/2020,0,1.5,0.75,0.666666667
25/05/2020,4,1.5,0.75,0.5
26/05/2020,6,2,1.75,1.166666667
27/05/2020,0,5,3.25,2.166666667
28/05/2020,7,3,2.5,2.166666667
29/05/2020,8,3.5,4.25,3.333333333
30/05/2020,1,7.5,5.25,4.166666667
31/05/2020,3,4.5,4,4.333333333
1/06/2020,2,2,4.75,4.166666667
2/06/2020,0,2.5,3.5,3.5
3/06/2020,1,1,1.5,3.5
4/06/2020,0,0.5,1.5,2.5
5/06/2020,4,0.5,0.75,1.166666667
6/06/2020,3,2,1.25,1.666666667
7/06/2020,0,3.5,2,1.666666667
8/06/2020,0,1.5,1.75,1.333333333
9/06/2020,0,0,1.75,1.333333333
10/06/2020,2,0,0.75,1.166666667
11/06/2020,0,1,0.5,1.5
12/06/2020,1,1,0.5,0.833333333
13/06/2020,0,0.5,0.75,0.5
14/06/2020,0,0.5,0.75,0.5
15/06/2020,0,0,0.25,0.5
16/06/2020,0,0,0.25,0.5
17/06/2020,0,0,0,0.166666667
18/06/2020,1,0,0,0.166666667
19/06/2020,0,0.5,0.25,0.166666667
20/06/2020,1,0.5,0.25,0.166666667
21/06/2020,1,0.5,0.5,0.333333333
22/06/2020,0,1,0.75,0.5
23/06/2020,2,0.5,0.5,0.5
24/06/2020,0,1,1,0.833333333
25/06/2020,1,1,0.75,0.666666667
26/06/2020,0,0.5,0.75,0.833333333
27/06/2020,0,0.5,0.75,0.666666667
28/06/2020,1,0,0.25,0.5
29/06/2020,0,0.5,0.5,0.666666667
30/06/2020,2,0.5,0.25,0.333333333
1/07/2020,0,1,0.75,0.666666667
2/07/2020,0,1,0.75,0.5
3/07/2020,0,0,0.5,0.5
4/07/2020,1,0,0.5,0.5
5/07/2020,6,0.5,0.25,0.5
6/07/2020,3,3.5,1.75,1.5
7/07/2020,0,4.5,2.5,1.666666667
8/07/2020,3,1.5,2.5,1.666666667
9/07/2020,3,1.5,3,2.166666667
10/07/2020,3,3,2.25,2.666666667
11/07/2020,4,3,2.25,3
12/07/2020,1,3.5,3.25,2.666666667
13/07/2020,0,2.5,2.75,2.333333333
14/07/2020,1,0.5,2,2.333333333
15/07/2020,8,0.5,1.5,2
16/07/2020,2,4.5,2.5,2.833333333
17/07/2020,2,5,2.75,2.666666667
18/07/2020,3,2,3.25,2.333333333
19/07/2020,0,2.5,3.75,2.666666667
20/07/2020,0,1.5,1.75,2.666666667
21/07/2020,0,0,1.25,2.5
22/07/2020,0,0,0.75,1.166666667
23/07/2020,3,0,0,0.833333333
24/07/2020,0,1.5,0.75,1
25/07/2020,2,1.5,0.75,0.5
26/07/2020,2,1,1.25,0.833333333
27/07/2020,0,2,1.75,1.166666667
28/07/2020,1,1,1,1.166666667
29/07/2020,2,0.5,1.25,1.333333333
30/07/2020,4,1.5,1.25,1.166666667
31/07/2020,1,3,1.75,1.833333333
1/08/2020,2,2.5,2,1.666666667
2/08/2020,1,1.5,2.25,1.666666667
3/08/2020,0,1.5,2,1.833333333
4/08/2020,0,0.5,1,1.666666667
5/08/2020,1,0,0.75,1.333333333
6/08/2020,-28,0.5,0.5,0.833333333
7/08/2020,0,-13.5,-6.75,-4
8/08/2020,0,-14,-6.75,-4.333333333
9/08/2020,0,0,-6.75,-4.5
10/08/2020,0,0,-7,-4.5
11/08/2020,0,0,0,-4.5
12/08/2020,0,0,0,-4.666666667
13/08/2020,2,0,0,0
14/08/2020,1,1,0.5,0.333333333
15/08/2020,1,1.5,0.75,0.5
16/08/2020,0,1,1,0.666666667
17/08/2020,0,0.5,1,0.666666667
18/08/2020,1,0,0.5,0.666666667
19/08/2020,4,0.5,0.5,0.833333333
20/08/2020,0,2.5,1.25,1.166666667
21/08/2020,0,2,1.25,1
22/08/2020,0,0,1.25,0.833333333
23/08/2020,1,0,1,0.833333333
24/08/2020,1,0.5,0.25,1
25/08/2020,0,1,0.5,1
26/08/2020,0,0.5,0.5,0.333333333
27/08/2020,0,0,0.5,0.333333333
28/08/2020,2,0,0.25,0.333333333
29/08/2020,0,1,0.5,0.666666667
30/08/2020,0,1,0.5,0.5
31/08/2020,0,0,0.5,0.333333333
1/09/2020,0,0,0.5,0.333333333
2/09/2020,0,0,0,0.333333333
3/09/2020,0,0,0,0.333333333
4/09/2020,0,0,0,0
5/09/2020,0,0,0,0
6/09/2020,1,0,0,0
7/09/2020,1,0.5,0.25,0.166666667
8/09/2020,1,1,0.5,0.333333333
9/09/2020,0,1,0.75,0.5
10/09/2020,1,0.5,0.75,0.5
11/09/2020,0,0.5,0.75,0.666666667
12/09/2020,0,0.5,0.5,0.666666667
13/09/2020,0,0,0.25,0.5
14/09/2020,0,0,0.25,0.333333333
15/09/2020,0,0,0,0.166666667
16/09/2020,1,0,0,0.166666667
17/09/2020,1,0.5,0.25,0.166666667
18/09/2020,0,1,0.5,0.333333333
19/09/2020,0,0.5,0.5,0.333333333
20/09/2020,1,0,0.5,0.333333333
21/09/2020,0,0.5,0.5,0.5
22/09/2020,3,0.5,0.25,0.5
23/09/2020,0,1.5,1,0.833333333
24/09/2020,3,1.5,1,0.666666667
25/09/2020,0,1.5,1.5,1.166666667
26/09/2020,1,1.5,1.5,1.166666667
27/09/2020,7,0.5,1,1.166666667
28/09/2020,0,4,2.75,2.333333333
29/09/2020,8,3.5,2,1.833333333
30/09/2020,0,4,4,3.166666667
1/10/2020,1,4,3.75,2.666666667
2/10/2020,0,0.5,2.25,2.833333333
3/10/2020,1,0.5,2.25,2.666666667
4/10/2020,0,0.5,0.5,1.666666667
5/10/2020,1,0.5,0.5,1.666666667
6/10/2020,0,0.5,0.5,0.5
7/10/2020,1,0.5,0.5,0.5
8/10/2020,2,0.5,0.5,0.5
9/10/2020,2,1.5,1,0.833333333
10/10/2020,0,2,1.25,1
11/10/2020,2,1,1.25,1
12/10/2020,2,1,1.5,1.166666667
13/10/2020,7,2,1.5,1.5
14/10/2020,1,4.5,2.75,2.5
15/10/2020,5,4,3,2.333333333
16/10/2020,0,3,3.75,2.833333333
17/10/2020,2,2.5,3.25,2.833333333
18/10/2020,3,1,2,2.833333333
19/10/2020,0,2.5,2.5,3
20/10/2020,24,1.5,1.25,1.833333333
21/10/2020,1,12,7.25,5.666666667
22/10/2020,8,12.5,7,5
23/10/2020,6,4.5,8.25,6.333333333
24/10/2020,4,7,9.75,7
25/10/2020,3,5,4.75,7.166666667
26/10/2020,2,3.5,5.25,7.666666667
27/10/2020,2,2.5,3.75,4
28/10/2020,1,2,2.75,4.166666667
29/10/2020,1,1.5,2,3
30/10/2020,1,1,1.5,2.166666667
31/10/2020,1,1,1.25,1.666666667
1/11/2020,1,1,1,1.333333333
2/11/2020,1,1,1,1.166666667
3/11/2020,0,1,1,1
4/11/2020,1,0.5,0.75,0.833333333
5/11/2020,4,0.5,0.75,0.833333333
6/11/2020,1,2.5,1.5,1.333333333
7/11/2020,0,2.5,1.5,1.333333333
8/11/2020,0,0.5,1.5,1.166666667
9/11/2020,0,0,1.25,1
10/11/2020,2,0,0.25,1
11/11/2020,2,1,0.5,1.166666667
12/11/2020,3,2,1,0.833333333
13/11/2020,0,2.5,1.75,1.166666667
14/11/2020,0,1.5,1.75,1.166666667
15/11/2020,4,0,1.25,1.166666667
16/11/2020,1,2,1.75,1.833333333
17/11/2020,0,2.5,1.25,1.666666667
18/11/2020,6,0.5,1.25,1.333333333
19/11/2020,0,3,2.75,1.833333333
20/11/2020,2,3,1.75,1.833333333
21/11/2020,1,1,2,2.166666667
22/11/2020,2,1.5,2.25,1.666666667
23/11/2020,5,1.5,1.25,1.833333333
24/11/2020,4,3.5,2.5,2.666666667
25/11/2020,2,4.5,3,2.333333333
26/11/2020,7,3,3.25,2.666666667
27/11/2020,0,4.5,4.5,3.5
28/11/2020,0,3.5,3.25,3.333333333
29/11/2020,1,0,2.25,3
30/11/2020,0,0.5,2,2.333333333
1/12/2020,3,0.5,0.25,1.666666667
2/12/2020,2,1.5,1,1.833333333
3/12/2020,0,2.5,1.5,1
4/12/2020,2,1,1.25,1
5/12/2020,3,1,1.75,1.333333333
6/12/2020,2,2.5,1.75,1.666666667
7/12/2020,0,2.5,1.75,2
8/12/2020,1,1,1.75,1.5
9/12/2020,1,0.5,1.5,1.333333333
10/12/2020,0,1,1,1.5
11/12/2020,2,0.5,0.5,1.166666667
12/12/2020,1,1,1,1
13/12/2020,1,1.5,1,0.833333333
14/12/2020,1,1,1,1
15/12/2020,1,1,1.25,1
16/12/2020,4,1,1,1
17/12/2020,1,2.5,1.75,1.666666667
18/12/2020,1,2.5,1.75,1.5
19/12/2020,1,1,1.75,1.5
20/12/2020,0,1,1.75,1.5
21/12/2020,1,0.5,0.75,1.333333333
22/12/2020,0,0.5,0.75,1.333333333
23/12/2020,0,0.5,0.5,0.666666667
24/12/2020,1,0,0.25,0.5
25/12/2020,1,0.5,0.5,0.5
26/12/2020,5,1,0.5,0.5
27/12/2020,2,3,1.75,1.333333333
28/12/2020,3,3.5,2.25,1.5
29/12/2020,1,2.5,2.75,2
30/12/2020,0,2,2.75,2.166666667
31/12/2020,2,0.5,1.5,2
1/01/2021,2,1,1.5,2.166666667
2/01/2021,3,2,1.25,1.666666667
3/01/2021,1,2.5,1.75,1.833333333
4/01/2021,1,2,2,1.5
5/01/2021,1,1,1.75,1.5
6/01/2021,3,1,1.5,1.666666667
7/01/2021,2,2,1.5,1.833333333
8/01/2021,0,2.5,1.75,1.833333333
9/01/2021,1,1,1.5,1.333333333
10/01/2021,0,0.5,1.5,1.333333333
11/01/2021,2,0.5,0.75,1.166666667
12/01/2021,1,1,0.75,1.333333333
13/01/2021,1,1.5,1,1
14/01/2021,2,1,1,0.833333333
15/01/2021,3,1.5,1.5,1.166666667
16/01/2021,2,2.5,1.75,1.5
17/01/2021,1,2.5,2,1.833333333
18/01/2021,0,1.5,2,1.666666667
19/01/2021,1,0.5,1.5,1.5
20/01/2021,0,0.5,1,1.5
21/01/2021,0,0.5,0.5,1.166666667
22/01/2021,2,0,0.25,0.666666667
23/01/2021,2,1,0.75,0.666666667
24/01/2021,2,2,1,0.833333333
25/01/2021,0,2,1.5,1.166666667
26/01/2021,1,1,1.5,1
27/01/2021,2,0.5,1.25,1.166666667
28/01/2021,1,1.5,1.25,1.5
29/01/2021,1,1.5,1,1.333333333
30/01/2021,3,1,1.25,1.166666667
31/01/2021,0,2,1.75,1.333333333
1/02/2021,1,1.5,1.25,1.333333333
2/02/2021,1,0.5,1.25,1.333333333
3/02/2021,0,1,1.25,1.166666667
4/02/2021,2,0.5,0.5,1
5/02/2021,1,1,1,1.166666667
6/02/2021,0,1.5,1,0.833333333
7/02/2021,0,0.5,0.75,0.833333333
8/02/2021,0,0,0.75,0.666666667
9/02/2021,0,0,0.25,0.5
10/02/2021,2,0,0,0.5
11/02/2021,1,1,0.5,0.5
12/02/2021,0,1.5,0.75,0.5
13/02/2021,0,0.5,0.75,0.5
14/02/2021,0,0,0.75,0.5
15/02/2021,0,0,0.25,0.5
16/02/2021,0,0,0,0.5
17/02/2021,0,0,0,0.166666667
18/02/2021,0,0,0,0
19/02/2021,0,0,0,0
20/02/2021,0,0,0,0
21/02/2021,1,0,0,0
22/02/2021,1,0.5,0.25,0.166666667
23/02/2021,1,1,0.5,0.333333333
24/02/2021,0,1,0.75,0.5
25/02/2021,0,0.5,0.75,0.5
26/02/2021,0,0,0.5,0.5
27/02/2021,0,0,0.25,0.5
28/02/2021,0,0,0,0.333333333
1/03/2021,0,0,0,0.166666667
2/03/2021,0,0,0,0
3/03/2021,1,0,0,0
4/03/2021,0,0.5,0.25,0.166666667
5/03/2021,0,0.5,0.25,0.166666667
6/03/2021,2,0,0.25,0.166666667
7/03/2021,1,1,0.75,0.5
8/03/2021,2,1.5,0.75,0.666666667
9/03/2021,1,1.5,1.25,1
10/03/2021,1,1.5,1.5,1
11/03/2021,1,1,1.25,1.166666667
12/03/2021,0,1,1.25,1.333333333
13/03/2021,1,0.5,0.75,1
14/03/2021,1,0.5,0.75,1
15/03/2021,1,1,0.75,0.833333333
16/03/2021,1,1,0.75,0.833333333
17/03/2021,1,1,1,0.833333333
18/03/2021,0,1,1,0.833333333
19/03/2021,2,0.5,0.75,0.833333333
20/03/2021,1,1,1,1
21/03/2021,0,1.5,1,1
22/03/2021,1,0.5,0.75,0.833333333
